motif	target_w_motifs	target_total	local_w_motifs	local_total	global_w_motifs	global_total	target_percentage_w_motifs	local_percentage_w_motifs	global_percentage_w_motifs	local_fold_change	local_pvalue	global_fold_change	global_pvalue
OSR1.MA1542.1	6428	51133	6212	51133	5909	51133	0.1257114	0.1214871	0.1155614	1.0348	0.0205373549959985	1.0878	3.28140669633769e-07
SIX1.MA1118.1	9297	51133	9469	51133	8691	51133	0.18182	0.1851837	0.1699685	0.9818	0.918883870212622	1.0697	3.35778139210011e-07
THAP11.MA1573.1	181	51133	113	51133	98	51133	0.0035398	0.0022099	0.0019166	1.6018	4.26080891247198e-05	1.8469	3.69436890948846e-07
NR2E3.MA0164.1	5475	51133	5292	51133	4996	51133	0.1070737	0.1034948	0.097706	1.0346	0.0318456638370177	1.0959	4.08573623752591e-07
ZBTB33.MA0527.1	1241	51133	1033	51133	1009	51133	0.02427	0.0202022	0.0197329	1.2014	5.59618819167185e-06	1.2299	4.14418347787964e-07
SOX14.MA1562.1	4147	51133	3952	51133	3748	51133	0.0811022	0.0772886	0.073299	1.0493	0.0123341433308802	1.1065	1.55255898529133e-06
CEBPD.MA0836.2	9673	51133	9367	51133	9096	51133	0.1891733	0.1831889	0.177889	1.0327	0.00713802428517686	1.0634	1.63349912582103e-06
HMBOX1.MA0895.1	21472	51133	22505	51133	20745	51133	0.4199245	0.4401267	0.4057067	0.9541	0.999999999967387	1.035	2.0017767547491e-06
ZBTB12.MA1649.1	33822	51133	34075	51133	33123	51133	0.6614515	0.6663994	0.6477813	0.9926	0.953665089383882	1.0211	2.21141936956744e-06
NR1D2.MA1532.1	3516	51133	3372	51133	3157	51133	0.0687619	0.0659457	0.061741	1.0427	0.0371964388775375	1.1137	2.89581463713851e-06
TFCP2.MA0145.3	5309	51133	5124	51133	4881	51133	0.1038273	0.1002093	0.0954569	1.0361	0.0286496665631005	1.0877	4.12698364652204e-06
TFAP2A.MA0003.4	31415	51133	31352	51133	30755	51133	0.6143782	0.6131461	0.6014707	1.002	0.345242407003331	1.0215	1.21600747223916e-05
SOX4.MA0867.2	22042	51133	22056	51133	21419	51133	0.4310719	0.4313457	0.418888	0.9994	0.53772820655196	1.0291	4.16613276946164e-05
NR2E1.MA0676.1	15691	51133	15925	51133	15126	51133	0.3068664	0.3114427	0.2958168	0.9853	0.944094042222921	1.0374	6.05735556223811e-05
GCM2.MA0767.1	20718	51133	20208	51133	20119	51133	0.4051787	0.3952047	0.3934641	1.0252	0.000579573653174633	1.0298	6.72141630577116e-05
PAX5.MA0014.3	21924	51133	21580	51133	21324	51133	0.4287642	0.4220366	0.4170301	1.0159	0.0150245218743613	1.0281	7.48402452535054e-05
HNF4A_2.MA1494.1	73	51133	27	51133	34	51133	0.0014276	0.000528	0.0006649	2.7038	2.32201584145043e-06	2.1471	0.000102412637559269
AHR_ARNT.MA0006.1	19223	51133	19164	51133	18672	51133	0.3759412	0.3747873	0.3651654	1.0031	0.3539936365205	1.0295	0.000184574963101145
BCL6.MA0463.2	584	51133	564	51133	469	51133	0.0114212	0.0110301	0.0091722	1.0355	0.28640627806384	1.2452	0.00020428767415302
RREB1.MA0073.1	512	51133	507	51133	410	51133	0.0100131	0.0099153	0.0080183	1.0099	0.449895510906507	1.2488	0.000412330557475797
ZNF684.MA1600.1	72	51133	55	51133	37	51133	0.0014081	0.0010756	0.0007236	1.3091	0.0775717322449107	1.946	0.000513315048795204
NFIL3.MA0025.2	9115	51133	9559	51133	8719	51133	0.1782606	0.1869439	0.1705161	0.9536	0.99984209359317	1.0454	0.00056625568391546
ZKSCAN1.MA1585.1	2747	51133	2847	51133	2530	51133	0.0537226	0.0556783	0.0494788	0.9649	0.917573194855791	1.0858	0.00113046537744806
E2F1.MA0024.3	1467	51133	1272	51133	1328	51133	0.0286899	0.0248763	0.0259715	1.1533	8.53175175753788e-05	1.1047	0.00405861984865341
ZNF449.MA1656.1	14274	51133	13625	51133	13906	51133	0.2791544	0.266462	0.2719574	1.0476	2.68777348857776e-06	1.0265	0.00510545711805745
MYBL1.MA0776.1	169	51133	142	51133	126	51133	0.0033051	0.0027771	0.0024642	1.1901	0.0698330647335338	1.3412	0.00709673005503445
NR4A2.MA0160.1	38846	51133	38888	51133	38519	51133	0.7597051	0.7605265	0.75331	0.9989	0.623578085306346	1.0085	0.00876889268400714
BARHL2.MA0635.1	32107	51133	33764	51133	31741	51133	0.6279115	0.6603172	0.6207537	0.9509	1	1.0115	0.00921701932375066
ZNF423.MA0116.1	628	51133	585	51133	548	51133	0.0122817	0.0114408	0.0107171	1.0735	0.112531361843824	1.146	0.0102314672432996
HIC1.MA0739.1	44968	51133	44804	51133	44724	51133	0.8794321	0.8762247	0.8746602	1.0037	0.059800541375268	1.0055	0.0103331830434836
PLAG1.MA0163.1	744	51133	806	51133	658	51133	0.0145503	0.0157628	0.0128684	0.9231	0.946584557014929	1.1307	0.0111159795681687
GLI3.MA1491.1	1629	51133	1552	51133	1509	51133	0.0318581	0.0303522	0.0295113	1.0496	0.0854999720359923	1.0795	0.0154685245295625
PRDM1.MA0508.3	22831	51133	23622	51133	22492	51133	0.4465023	0.4619717	0.4398725	0.9665	0.999999672444586	1.0151	0.016682250946298
PAX6.MA0069.1	1758	51133	1736	51133	1639	51133	0.0343809	0.0339507	0.0320537	1.0127	0.358866010040084	1.0726	0.0197367379036464
RARG_3.MA1553.1	618	51133	523	51133	551	51133	0.0120861	0.0102282	0.0107758	1.1816	0.00255637076849224	1.1216	0.0260772651308452
IRF6.MA1509.1	477	51133	457	51133	424	51133	0.0093286	0.0089375	0.0082921	1.0438	0.266141713175461	1.125	0.0408966670177854
ZSCAN4.MA1155.1	53	51133	52	51133	37	51133	0.0010365	0.001017	0.0007236	1.0192	0.5	1.4324	0.0565928853510151
ZNF282.MA1154.1	56	51133	44	51133	40	51133	0.0010952	0.0008605	0.0007823	1.2727	0.135509145453322	1.4	0.0625842226135008
SMAD5.MA1557.1	1165	51133	1087	51133	1094	51133	0.0227837	0.0212583	0.0213952	1.0718	0.0504147105349376	1.0649	0.0681920855478065
ZSCAN29.MA1602.1	789	51133	766	51133	731	51133	0.0154303	0.0149805	0.0142961	1.03	0.28699942091648	1.0793	0.0703622261941698
ZNF528.MA1597.1	77	51133	77	51133	60	51133	0.0015059	0.0015059	0.0011734	1	0.532119733163929	1.2834	0.0855609355135329
SOX5.MA0087.1	10371	51133	10683	51133	10211	51133	0.202824	0.2089257	0.1996949	0.9708	0.992254310097099	1.0157	0.107472172367941
NR1I2.MA1533.1	1896	51133	1827	51133	1827	51133	0.0370798	0.0357304	0.0357304	1.0378	0.128120930446705	1.0378	0.128120930446705
ZNF136.MA1588.1	228	51133	196	51133	204	51133	0.004459	0.0038331	0.0039896	1.1633	0.0656495365600032	1.1177	0.133719218903665
ISL1.MA1608.1	19475	51133	20236	51133	19306	51133	0.3808695	0.3957523	0.3775644	0.9624	0.999999493946094	1.0088	0.139458741084606
CEBPG_2.MA1636.1	3698	51133	3599	51133	3613	51133	0.0723212	0.0703851	0.0706589	1.0275	0.116924432040061	1.0235	0.153976952371296
PROX1.MA0794.1	136	51133	143	51133	119	51133	0.0026597	0.0027966	0.0023273	0.951	0.684205561617614	1.1428	0.157879575526755
MZF1_2.MA0057.1	44919	51133	45093	51133	44813	51133	0.8784738	0.8818767	0.8764008	0.9961	0.954012770530946	1.0024	0.158356383296382
TCF7L2.MA0523.1	5364	51133	5574	51133	5276	51133	0.1049029	0.1090098	0.1031819	0.9623	0.983617222613954	1.0167	0.186450033652133
ZBTB32.MA1580.1	987	51133	1081	51133	958	51133	0.0193026	0.0211409	0.0187355	0.913	0.982604290715302	1.0303	0.260761655608027
HOXA11.MA0911.1	6013	51133	6316	51133	5960	51133	0.1175953	0.123521	0.1165588	0.952	0.998247590319075	1.0089	0.30651493837614
HOXB4.MA1499.1	13766	51133	14978	51133	13695	51133	0.2692195	0.2929224	0.267831	0.9191	1	1.0052	0.310688160816647
CENPB.MA0637.1	786	51133	838	51133	766	51133	0.0153717	0.0163886	0.0149805	0.938	0.907545601608864	1.0261	0.313493544739114
FOXH1.MA0479.1	3269	51133	3453	51133	3243	51133	0.0639313	0.0675298	0.0634228	0.9467	0.990217111679958	1.008	0.374423930411819
ZNF652.MA1657.1	5845	51133	6379	51133	5812	51133	0.1143097	0.1247531	0.1136644	0.9163	0.999999874943857	1.0057	0.376429337559394
MSX2.MA0708.1	16533	51133	17477	51133	16515	51133	0.3233333	0.3417949	0.3229812	0.946	0.999999999822409	1.0011	0.454751146448988
NKX3_1.MA0124.2	13292	51133	13988	51133	13280	51133	0.2599495	0.2735611	0.2597149	0.9502	0.999999585413489	1.0009	0.468740672197876
TP73.MA0861.1	179	51133	169	51133	177	51133	0.0035007	0.0033051	0.0034616	1.0592	0.314482183468452	1.0113	0.478834071955772
NKX2_5.MA0063.2	25853	51133	26506	51133	25849	51133	0.505603	0.5183737	0.5055248	0.9754	0.999978561699641	1.0002	0.492514915017751
HINFP.MA0131.2	5962	51133	6208	51133	5964	51133	0.1165979	0.1214089	0.116637	0.9604	0.991471526407423	0.9997	0.511658570608136
ZBTB7B.MA0694.1	3451	51133	3752	51133	3460	51133	0.0674907	0.0733773	0.0676667	0.9198	0.999888390983141	0.9974	0.549568634960989
REST.MA0138.2	84	51133	36	51133	85	51133	0.0016428	0.000704	0.0016623	2.3335	6.87006800260357e-06	0.9883	0.561155278982104
PKNOX1.MA0782.2	13396	51133	13204	51133	13466	51133	0.2619835	0.2582285	0.2633524	1.0145	0.0866824143997478	0.9948	0.693043286630176
SOX1.MA0870.1	18	51133	23	51133	21	51133	0.000352	0.0004498	0.0004107	0.7826	0.825604102252359	0.8571	0.738841249721092
ZNF143.MA0088.2	22	51133	20	51133	26	51133	0.0004303	0.0003911	0.0005085	1.1002	0.438794594810338	0.8462	0.764612833957866
MEIS1_2.MA1639.1	7856	51133	8245	51133	7942	51133	0.1536386	0.1612462	0.1553204	0.9528	0.99959379913991	0.9892	0.774202341722733
FOXQ1.MA0040.1	2754	51133	3051	51133	2816	51133	0.0538595	0.0596679	0.0550721	0.9027	0.999971873271975	0.978	0.807331923778034
NR1I3.MA1534.1	16604	51133	17569	51133	16741	51133	0.3247218	0.3435942	0.3274011	0.9451	0.999999999924466	0.9918	0.821360673184083
PTF1A.MA1618.1	27849	51133	28084	51133	28010	51133	0.5446385	0.5492343	0.5477871	0.9916	0.930898212100618	0.9943	0.845546594589931
ZNF140.MA1589.1	66	51133	72	51133	78	51133	0.0012908	0.0014081	0.0015254	0.9167	0.724428015962401	0.8462	0.860862205879738
MAFK.MA0496.3	14587	51133	14150	51133	14745	51133	0.2852757	0.2767293	0.2883656	1.0309	0.00120968850549334	0.9893	0.864187352634909
MECOM.MA0029.1	156	51133	190	51133	176	51133	0.0030509	0.0037158	0.003442	0.8211	0.970349600208773	0.8864	0.875851334461712
NKX2_3.MA0672.1	21936	51133	22656	51133	22199	51133	0.4289989	0.4430798	0.4341423	0.9682	0.999997274441751	0.9882	0.952219583125578
ZNF274.MA1592.1	403	51133	352	51133	451	51133	0.0078814	0.006884	0.0088201	1.1449	0.033857006492488	0.8936	0.953917605450137
SOX2.MA0143.4	26508	51133	27326	51133	26781	51133	0.5184128	0.5344103	0.5237518	0.9701	0.999999854643639	0.9898	0.956841101668219
STAT2.MA1623.1	15714	51133	17008	51133	15983	51133	0.3073162	0.3326228	0.312577	0.9239	1	0.9832	0.96604761308553
GATA2.MA0036.3	15048	51133	16244	51133	15324	51133	0.2942914	0.3176813	0.299689	0.9264	1	0.982	0.970998525148413
GATA3.MA0037.3	19442	51133	20713	51133	19769	51133	0.3802241	0.4050809	0.3866192	0.9386	1	0.9835	0.982548800825529
MIX_A.MA0621.1	3679	51133	4291	51133	3873	51133	0.0719496	0.0839184	0.0757436	0.8574	0.999999999999578	0.9499	0.990142854834193
IRF1.MA0050.2	1923	51133	2136	51133	2069	51133	0.0376078	0.0417734	0.0404631	0.9003	0.99969638644488	0.9294	0.991192144306278
ZNF24.MA1124.1	953	51133	1239	51133	1060	51133	0.0186377	0.0242309	0.0207303	0.7692	0.999999999726998	0.8991	0.992485198373189
NEUROD2.MA0668.1	13318	51133	13483	51133	13660	51133	0.260458	0.2636849	0.2671465	0.9878	0.881077547853123	0.975	0.992530631519838
ZFX.MA0146.2	21193	51133	21123	51133	21598	51133	0.4144682	0.4130992	0.4223887	1.0033	0.330658998278468	0.9812	0.994968480898333
FOXA2.MA0047.3	17971	51133	19400	51133	18377	51133	0.351456	0.3794027	0.3593961	0.9263	1	0.9779	0.996081520487244
CREB1.MA0018.4	15876	51133	16243	51133	16304	51133	0.3104844	0.3176618	0.3188548	0.9774	0.993418163500351	0.9737	0.998066468196994
DUX.MA0611.1	7419	51133	7214	51133	7747	51133	0.1450922	0.1410831	0.1515069	1.0284	0.0342430479255933	0.9577	0.998103450568591
DMRT1.MA1603.1	3723	51133	4118	51133	3987	51133	0.0728101	0.0805351	0.0779731	0.9041	0.999998379533759	0.9338	0.999152038384232
LHX2.MA0700.2	12208	51133	13724	51133	12700	51133	0.2387499	0.2683981	0.2483719	0.8895	1	0.9613	0.999835739586642
SMAD2_SMAD3_SMAD4.MA0513.1	10479	51133	10685	51133	10990	51133	0.2049361	0.2089649	0.2149297	0.9807	0.944956500291031	0.9535	0.999957774220563
SIX3.MA0631.1	574	51133	676	51133	738	51133	0.0112256	0.0132204	0.0144329	0.8491	0.998319860443614	0.7778	0.999997789279904
EWSR1_FLI1.MA0149.1	62	51133	89	51133	124	51133	0.0012125	0.0017406	0.002425	0.6966	0.988861767931612	0.5	0.999998475584085
RUNX3.MA0684.2	31045	51133	32486	51133	31859	51133	0.6071422	0.6353236	0.6230614	0.9556	1	0.9745	0.999999918791829
LIN54.MA0619.1	10484	51133	12587	51133	11212	51133	0.2050339	0.246162	0.2192713	0.8329	1	0.9351	0.999999987717672
DUXA.MA0884.1	4340	51133	4691	51133	4849	51133	0.0848767	0.0917411	0.0948311	0.9252	0.999947706554308	0.895	0.999999987835361
SCRT2.MA0744.2	6940	51133	7518	51133	7650	51133	0.1357245	0.1470283	0.1496098	0.9231	0.999999898855687	0.9072	0.999999999897986
DMRT3.MA0610.1	8756	51133	9645	51133	9558	51133	0.1712397	0.1886257	0.1869243	0.9078	0.999999999999786	0.9161	0.9999999999712
TBP.MA0108.2	19178	51133	21391	51133	20214	51133	0.3750611	0.4183404	0.395322	0.8965	1	0.9487	0.99999999998666
GFI1B.MA0483.1	8124	51133	8840	51133	8925	51133	0.1588798	0.1728825	0.1745448	0.919	0.999999999171468	0.9103	0.999999999991497
ARID3A.MA0151.1	19692	51133	22093	51133	20766	51133	0.3851133	0.4320693	0.4061174	0.8913	1	0.9483	0.999999999996899
NR1H3_RXRA.MA0494.1	6317	51133	7361	51133	7073	51133	0.1235406	0.1439579	0.1383255	0.8582	1	0.8931	0.999999999998883
DPRX.MA1480.1	14923	51133	16221	51133	15983	51133	0.2918468	0.3172315	0.312577	0.92	1	0.9337	0.99999999999975
YY2.MA0748.2	21390	51133	22114	51133	22665	51133	0.4183208	0.43248	0.4432558	0.9673	0.999997736843426	0.9437	1
PITX3.MA0714.1	34353	51133	37160	51133	35744	51133	0.6718362	0.7267322	0.6990398	0.9245	1	0.9611	1
ZBTB6.MA1581.1	24715	51133	26330	51133	26604	51133	0.4833473	0.5149316	0.5202902	0.9387	1	0.929	1
SPZ1.MA0111.1	15538	51133	16838	51133	16843	51133	0.3038742	0.3292981	0.3293959	0.9228	1	0.9225	1
RBPJL.MA1621.1	31651	51133	33516	51133	34338	51133	0.6189936	0.6554671	0.6715428	0.9444	1	0.9217	1
MGA.MA0801.1	22717	51133	24906	51133	25382	51133	0.4442728	0.4870827	0.4963918	0.9121	1	0.895	1
POU5F1.MA1115.1	25242	51133	29304	51133	28401	51133	0.4936538	0.5730937	0.5554339	0.8614	1	0.8888	1
SNAI1.MA1558.1	25486	51133	28117	51133	29373	51133	0.4984257	0.5498797	0.5744431	0.9064	1	0.8677	1
POU4F1.MA0790.1	4621	51133	5833	51133	5599	51133	0.0903722	0.1140751	0.1094988	0.7922	1	0.8253	1
ZNF384.MA1125.1	13274	51133	17503	51133	16337	51133	0.2595975	0.3423034	0.3195001	0.7584	1	0.8125	1
MEF2A.MA0052.4	13909	51133	18708	51133	17302	51133	0.2720161	0.3658694	0.3383725	0.7435	1	0.8039	1
SREBF1.MA0595.1	7481	51133	9046	51133	9355	51133	0.1463047	0.1769112	0.1829543	0.827	1	0.7997	1
DDIT3_CEBPA.MA0019.1	11937	51133	14501	51133	14957	51133	0.23345	0.2835938	0.2925117	0.8232	1	0.7981	1
HOXB13.MA0901.2	7076	51133	9361	51133	8900	51133	0.1383842	0.1830716	0.1740559	0.7559	1	0.7951	1
ARID5A.MA0602.1	15579	51133	20819	51133	19758	51133	0.304676	0.4071539	0.3864041	0.7483	1	0.7885	1
CUX1.MA0754.1	3600	51133	4520	51133	4676	51133	0.0704046	0.0883969	0.0914478	0.7965	1	0.7699	1
ONECUT1.MA0679.2	2448	51133	3460	51133	3711	51133	0.0478751	0.0676667	0.0725754	0.7075	1	0.6597	1
ZNF460.MA1596.1	5958	51133	11369	51133	11452	51133	0.1165197	0.2223417	0.223965	0.5241	1	0.5203	1
